Title,Alternate title,Genre,Primary Source Verification,Notes,Production Company,Production date,Distribution date,Length (reels),Actors,Directors,Producers,Camerawork,Attachments,Source,Writer,Otherwise Involved,Link to media,Distributor
Why Worry?,,Comedy,,,Lone Star,1/1/23,,,"Smith,Morris,Brown",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Blacks in Black and White",,,,
"Willie and Eugene Howard, Music Makers ",,,,,,1/1/28,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
With the Help of Uncle Eben,,,,,Afro-American Film Company,1/1/15,1/1/15,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Within Our Gates,Within Our Gates: A Story of the Negro,Drama,,"Original film was 8 reels, but censors forced removal of 1 reel (1,200 feet), according to Musser et al. Full cast list from Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). I wonder if ""Jack Chenault"" is an error, since the name appears only here, and Musser et al. do not include L. Chenault among the actors. --MP",Micheaux Film Corporation,1/1/19,1/1/20,8,"Preer,Chenault,Lucas,Starks,Edwards,Edwards,Tatum,Chenault,Jacks,Gorman,Clements,Cook,Lucas,Johnson,Ruffin,Ladd,Evelyn,Smith,Harris",Micheaux,Micheaux,,,"Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity,Slow Fade to Black,Oscar Micheaux and His Circle",Micheaux,,,
Woman's Error,,,,,Tressie Saunders,1/1/22,,,,,Saunders,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Wrong All Around,,,,,RCM Production,1/1/17,,,"Robinson,Jacks,Starks,Mason,Murphy,Skekeeter,Price,Brogsdale,Duree,Pollard",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Wrong All Around,,,,,Lone Star,1/1/22,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Yamekraw,,,,,Vitaphone,1/1/30,,1,"Mordecai,Simms,Roth,Cook",Roth,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
YMCA Dedication,,Actuality,,,Foster Photoplay Company,1/1/13,1/1/13,,,Foster,Foster,,,The Ambitions of William Foster,,,,
You Can't Keep a Good Man Down,,,,,Lone Star,1/1/22,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
"Zeb, Zack, and the Zulus",,,,,Lubin Manufacturing Company,1/1/13,,,,Lubin,Lubin,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Zircon,The Fighting Fool,,,"15-episode serial, never produced",Norman Film Manufacturing Company,,,,,,,,,"Richard E. Norman and Race Filmmaking,Blacks in Black and White",,,,
Zulutown,,,,,African Films,1/1/16,,,Zulu Tribesmen,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Zulutown Races,,,,Second in the Zulutown series,African Films,1/1/16,,,Zulu Tribesmen,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The Accidental Ruler,,,out (14).pdf (https://dl.airtable.com/9q5vLVCFQZKgpGRPmqq1_out%20(14).pdf),"""Display Ad 4 -- no Title."" The Chicago Defender (Big Weekend Edition) (1905-1966), Sep 01, 1917",Peter P. Jones Photoplay Ltd.,9/1/17,,,"George,Burton-Hyman,Perrin",,,,,,,,,
Lincoln Jubilee,,Actuality,out (16).pdf (https://dl.airtable.com/PQSx2dS5i1CH6ePmBSBg_out%20(16).pdf),"""Display Ad 13 -- no Title."" The Chicago Defender (Big Weekend Edition) (1905-1966), Nov 20, 1915.",Peter P. Jones Photoplay Ltd.,1/1/15,11/1/15,,,,,,,,,,,
